date,region,product_category,sales_channel,units_sold,unit_price,marketing_spend,is_holiday,sales
2024-01-01,North,Electronics,Online,150,299.99,1200,0,44998.50
2024-01-01,South,Clothing,Offline,85,49.99,800,0,4249.15
2024-01-01,East,Groceries,Online,320,15.50,600,0,4960.00
2024-01-01,West,Electronics,Offline,95,349.99,1100,0,33249.05
2024-01-02,North,Clothing,Online,120,59.99,950,0,7198.80
2024-01-02,South,Electronics,Offline,75,279.99,1300,0,20999.25
2024-01-02,East,Electronics,Online,180,199.99,1500,0,35998.20
2024-01-02,West,Groceries,Offline,400,12.99,500,0,5196.00
2024-01-03,North,Groceries,Online,280,18.50,700,0,5180.00
2024-01-03,South,Clothing,Offline,95,44.99,850,0,4274.05
2024-01-03,East,Clothing,Online,110,64.99,900,0,7148.90
2024-01-03,West,Electronics,Online,140,249.99,1400,0,34998.60
2024-01-04,North,Electronics,Offline,88,399.99,1250,0,35199.12
2024-01-04,South,Groceries,Online,350,14.99,550,0,5246.50
2024-01-04,East,Electronics,Offline,65,329.99,1150,0,21449.35
2024-01-04,West,Clothing,Online,130,54.99,920,0,7148.70
2024-01-05,North,Clothing,Offline,100,39.99,780,1,3999.00
2024-01-05,South,Electronics,Online,160,289.99,1350,1,46398.40
2024-01-05,East,Groceries,Offline,420,11.99,480,1,5035.80
2024-01-05,West,Groceries,Online,300,16.99,620,1,5097.00
2024-01-06,North,Electronics,Online,175,319.99,1450,0,55998.25
2024-01-06,South,Clothing,Offline,90,47.99,820,0,4319.10
2024-01-06,East,Clothing,Online,125,52.99,880,0,6623.75
2024-01-06,West,Electronics,Offline,70,379.99,1200,0,26599.30
2024-01-07,North,Groceries,Offline,380,13.49,580,0,5126.20
2024-01-07,South,Groceries,Online,290,17.99,650,0,5217.10
2024-01-07,East,Electronics,Online,155,269.99,1380,0,41848.45
2024-01-07,West,Clothing,Offline,105,42.99,800,0,4513.95
2024-01-08,North,Clothing,Online,135,56.99,940,0,7693.65
2024-01-08,South,Electronics,Offline,82,359.99,1280,0,29519.18
2024-01-08,East,Groceries,Offline,360,14.49,540,0,5216.40
2024-01-08,West,Electronics,Online,145,229.99,1420,0,33348.55
2024-01-09,North,Electronics,Offline,92,309.99,1180,0,28519.08
2024-01-09,South,Clothing,Online,115,61.99,960,0,7128.85
2024-01-09,East,Electronics,Offline,78,339.99,1220,0,26519.22
2024-01-09,West,Groceries,Online,330,15.99,610,0,5276.70
2024-01-10,North,Groceries,Online,310,16.49,640,0,5111.90
2024-01-10,South,Groceries,Offline,395,12.49,520,0,4933.55
2024-01-10,East,Clothing,Offline,98,46.99,840,0,4605.02
2024-01-10,West,Clothing,Online,140,58.99,930,0,8258.60
2024-01-11,North,Electronics,Online,168,284.99,1340,0,47878.32
2024-01-11,South,Electronics,Offline,85,369.99,1260,0,31449.15
2024-01-11,East,Groceries,Online,345,15.29,575,0,5275.05
2024-01-11,West,Electronics,Offline,72,389.99,1230,0,28079.28
2024-01-12,North,Clothing,Offline,108,43.99,810,1,4750.92
2024-01-12,South,Clothing,Online,128,57.99,945,1,7422.72
2024-01-12,East,Electronics,Online,162,259.99,1390,1,42118.38
2024-01-12,West,Groceries,Offline,375,13.99,560,1,5246.25
2024-01-13,North,Groceries,Offline,340,14.79,565,1,5028.60
2024-01-13,South,Electronics,Online,148,294.99,1360,1,43658.52
2024-01-13,East,Clothing,Offline,92,48.99,830,1,4507.08
2024-01-13,West,Clothing,Online,118,63.99,910,1,7550.82
2024-01-14,North,Electronics,Offline,95,324.99,1195,0,30874.05
2024-01-14,South,Groceries,Online,305,17.49,660,0,5334.45
2024-01-14,East,Electronics,Offline,80,349.99,1240,0,27999.20
2024-01-14,West,Electronics,Online,158,274.99,1410,0,43448.42
2024-01-15,North,Clothing,Online,142,55.99,935,0,7950.58
2024-01-15,South,Clothing,Offline,88,41.99,790,0,3695.12
2024-01-15,East,Groceries,Offline,390,12.79,510,0,4988.10
2024-01-15,West,Groceries,Online,285,18.99,680,0,5412.15
